text,category,priority
Track calories after dinner tomorrow at 6:30 am,Health,Medium
Explore supermarket offers before midnight today,Errands,Low
Read a novel chapter next Wednesday at 5:30 pm,Personal,Low
Window shop at mall on Sunday at 6:00 pm,Errands,Low
Finish critical project report tomorrow morning at 7:30 am,Work,High
Listen to music this weekend at 5:00 pm,Personal,Low
Plan diet chart someday after lunch at 2:30 pm,Health,Low
Review monthly budget tomorrow morning at 7:30 am,Finance,Medium
Track calories after dinner this weekend at 5:00 pm,Health,Medium
Explore supermarket offers tomorrow at 7:00 pm,Errands,Low
Catch up with friend on call next Monday at 9:00 am,Personal,Medium
Solve previous year question papers tomorrow morning at 7:30 am,Study,High
Scroll social media freely next Monday at 9:00 am,Personal,Low
Catch up with friend on call on Saturday at 4:00 pm,Personal,Medium
Journal about the day tonight at 10:00 pm,Personal,Medium
Complete sprint tasks ASAP after dinner at 9:30 pm,Work,High
Monitor high fever closely on Saturday at 4:00 pm,Health,High
Refactor old code module tomorrow at 6:30 am,Work,Medium
Visit doctor immediately today at 9:30 pm,Health,High
Research mutual funds on Sunday at 6:00 pm,Finance,Low
Update expense tracker on Saturday at 4:00 pm,Finance,Medium
Do home workout on Saturday at 4:00 pm,Health,Medium
Update project documentation after lunch at 2:30 pm,Work,Medium
Buy groceries before lunch at 1:00 pm,Errands,Medium
Track calories after dinner this weekend at 5:00 pm,Health,Medium
Refill gas cylinder soon after lunch at 2:30 pm,Errands,High
Watch recorded lecture after lunch at 2:30 pm,Study,Medium
Check investment portfolio next Tuesday at 3:00 pm,Finance,Medium
Prepare notes for tomorrow's test before midnight today,Study,High
Schedule emergency health checkup on Saturday at 4:00 pm,Health,High
Review optional tech article today at 8:00 pm,Work,Low
Read health tips article on Saturday at 4:00 pm,Health,Low
Catch up with friend on call after dinner at 9:30 pm,Personal,Medium
Listen to music next Tuesday at 3:00 pm,Personal,Low
Pay credit card bill urgently after lunch at 2:30 pm,Finance,High
Skim through extra readings next Thursday at 11:00 am,Study,Low
Practice a few coding problems tomorrow morning at 7:30 am,Study,Medium
Review optional tech article tomorrow morning at 7:30 am,Work,Low
Browse memes for fun on Sunday at 6:00 pm,Personal,Low
Watch a relaxing movie after lunch at 2:30 pm,Personal,Low
Submit important form tonight at 10:00 pm,Errands,High
Prepare notes for tomorrow's test next Monday at 9:00 am,Study,High
Do home workout on Friday at 7:30 pm,Health,Medium
Track calories after dinner next Monday at 9:00 am,Health,Medium
Watch a relaxing movie on Friday at 7:30 pm,Personal,Low
Go for evening walk after dinner at 9:30 pm,Health,Medium
Finish critical project report next Monday at 9:00 am,Work,High
Compare credit card offers on Saturday at 4:00 pm,Finance,Low
Download bank statements today at 9:30 pm,Finance,Medium
Prepare client presentation urgently on Friday at 7:30 pm,Work,High
Plan tasks for next sprint on Friday at 7:30 pm,Work,Medium
Read textbook chapter calmly today at 9:30 pm,Study,Medium
Plan weekend outing after lunch at 2:30 pm,Personal,Medium
Compare credit card offers tomorrow morning at 7:30 am,Finance,Low
Review optional tech article before lunch at 1:00 pm,Work,Low
Practice coding problems urgently today at 9:30 pm,Study,High
Browse memes for fun after lunch at 2:30 pm,Personal,Low
Summarize class notes before lunch at 1:00 pm,Study,Medium
Watch a relaxing movie tomorrow at 7:00 pm,Personal,Low
Schedule emergency health checkup before midnight today,Health,High
Handle severe health issue today at 9:30 pm,Health,High
Journal about the day tomorrow evening at 8:00 pm,Personal,Medium
Approve important payment next Monday at 9:00 am,Finance,High
Explore supermarket offers after dinner at 9:30 pm,Errands,Low
Research new workout ideas this weekend at 5:00 pm,Health,Low
Pick up urgent courier this weekend at 5:00 pm,Errands,High
Plan weekend outing before midnight today,Personal,Medium
Practice coding problems urgently tomorrow evening at 8:00 pm,Study,High
Browse memes for fun this weekend at 5:00 pm,Personal,Low
Check investment portfolio tomorrow at 7:00 pm,Finance,Medium
Attend important family call tomorrow evening at 8:00 pm,Personal,High
Drop parcel at post office tomorrow at 6:30 am,Errands,Medium
Go for evening walk on Friday at 7:30 pm,Health,Medium
Update expense tracker before midnight today,Finance,Medium
Update expense tracker before midnight today,Finance,Medium
Organize wardrobe tomorrow at 6:30 am,Personal,Medium
Plan study schedule for the week on Friday at 7:30 pm,Study,Medium
Visit ATM to withdraw cash tonight at 10:00 pm,Errands,Medium
Practice coding problems urgently next Tuesday at 3:00 pm,Study,High
Do light stretching tomorrow at 6:30 am,Health,Low
Complete tax filing before deadline tomorrow morning at 7:30 am,Finance,High
Review solved examples casually before midnight today,Study,Low
Refactor old code module today at 9:30 pm,Work,Medium
Prepare notes for tomorrow's test after lunch at 2:30 pm,Study,High
Finish critical project report this weekend at 5:00 pm,Work,High
Resolve bank account issue next Tuesday at 3:00 pm,Finance,High
Call parents urgently on Saturday at 4:00 pm,Personal,High
Take important medication on Saturday at 4:00 pm,Health,High
Read tech blog article on Saturday at 4:00 pm,Study,Low
Recharge mobile plan before expiry next Thursday at 11:00 am,Errands,High
Clean up old branches in git before midnight today,Work,Low
Do light stretching on Saturday at 4:00 pm,Health,Low
Schedule emergency health checkup after dinner at 9:30 pm,Health,High
Monitor high fever closely tomorrow evening at 8:00 pm,Health,High
Monitor high fever closely next Monday at 9:00 am,Health,High
Resolve bank account issue on Saturday at 4:00 pm,Finance,High
Listen to music next Wednesday at 5:30 pm,Personal,Low
Browse optional reference materials next Thursday at 11:00 am,Study,Low
Monitor high fever closely before midnight today,Health,High
Pay electricity bill before cut off tomorrow at 6:30 am,Errands,High
Plan study schedule for the week on Friday at 7:30 pm,Study,Medium
Do light stretching this weekend at 5:00 pm,Health,Low
Pay electricity bill before cut off today at 8:00 pm,Errands,High
Check investment portfolio after lunch at 2:30 pm,Finance,Medium
Clean room properly tomorrow morning at 7:30 am,Personal,Medium
Transfer rent to landlord next Monday at 9:00 am,Finance,High
Monitor high fever closely tomorrow at 6:30 am,Health,High
Look at furniture options before midnight today,Errands,Low
Review solved examples casually on Friday at 7:30 pm,Study,Low
Pick up urgent courier next Tuesday at 3:00 pm,Errands,High
Solve previous year question papers on Sunday at 6:00 pm,Study,High
Read finance blog this weekend at 5:00 pm,Finance,Low
Practice yoga session on Sunday at 6:00 pm,Health,Medium
Watch a relaxing movie tomorrow at 7:00 pm,Personal,Low
Fix production bug immediately today at 8:00 pm,Work,High
